FromAccount      ToAccount       TranType    Amount
14532364         14532364          3         99.00
14532364         14532364          3         199.00
17174612         14532419          4         -777.00
14532419         17174612          4         -888.00
17174612         14532419          4         -100.00
14532419         17174612          4         -100.00
14532419         17174612          4         -100.00
14532364         14532419          4         -100.00
14532364         14532419          4         -666.00
14532364         14532419          4         -777.00
